firstdate;marketcode;segmentcode;isincode;description;currencycode;minimumlot;status;issuedate;issueprice;redemptiondate;redemptionprice;
24/04/2023;MOT;EUROMOT;HU0000405550;Hungary Tf 4,75% Nv32 Huf;HUF;500000;Senior;19/01/2022;;24/11/2032;;
24/04/2023;MOT;EUROMOT;HU0000405535;Hungary Green Tf 4,5% Mg32 Huf;HUF;500000;Senior;26/01/2022;;27/05/2032;;
24/04/2023;MOT;EUROMOT;HU0000404934;Hungary Tf 1,5% Ag26 Huf;HUF;500000;Senior;24/02/2021;;26/08/2026;;
24/04/2023;MOT;EUROMOT;HU0000404892;Hungary Tf 2,25% Gn34 Huf;HUF;500000;Senior;20/01/2021;;22/06/2034;;
24/04/2023;MOT;BTP;IT0005543803;Btpi Tf 1.5% Mg29 Eur;EUR;1000;Senior;26/04/2023;;15/05/2029;;
20/04/2023;MOT;EUROMOT;XS2435594135;Aiib Tf 5,75% Ge27 Inr;INR;100000;Senior;25/01/2022;;25/01/2027;;
18/04/2023;MOT;EUROMOT;XS2610236445;Cyprus Sustainable Tf 4,125% Ap33 Eur;EUR;1000;Senior;13/04/2023;;13/04/2033;;
18/04/2023;MOT;EUROMOT;NL0015001DQ7;Netherlands Tf 2,5% Ge30 Eur;EUR;1000;Senior;06/04/2023;;15/01/2030;;
18/04/2023;MOT;EUROMOT;FR001400H7V7;Oat Tf 3% Mg33 Eur;EUR;1000;Senior;25/05/2022;;25/05/2033;;
14/04/2023;MOT;BTP;IT0005542797;Btp Tf 3,7% Gn30 Eur;EUR;1000;Senior;17/04/2023;;15/06/2030;;
13/04/2023;MOT;EUROMOT;GR0114033583;Ggb Tf 3,875% Gn28 Eur;EUR;1000;Senior;05/04/2023;;15/06/2028;;
11/04/2023;MOT;BTP;IT0005542359;Btpgreen 4%Ot31eur;EUR;1000;Senior;13/04/2023;;30/10/2031;;
04/04/2023;MOT;EUROMOT;PL0000113783;Poland Tf 1,75% Ap32 Pln;PLN;1000;Senior;25/04/2021;;25/04/2032;;
04/04/2023;MOT;EUROMOT;PL0000112736;Poland Tf 1,25% Ot30 Pln;PLN;1000;Senior;25/10/2019;;25/10/2030;;
04/04/2023;MOT;EUROMOT;PL0000111498;Poland Tf 2,75% Ot29 Pln;PLN;1000;Senior;25/10/2018;;25/10/2029;;
30/03/2023;MOT;EUROMOT;US00828EER62;Afdb Tf 4,375% Mz28 Usd;USD;1000;Senior;14/03/2023;;14/03/2028;;
24/03/2023;EUROTLX;EUROTLX;US91282CGH88;Usa Tf 3,5% Ge28 Usd;USD;1000;Senior;;;31/01/2028;;
24/03/2023;EUROTLX;EUROTLX;US91282CGC91;Usa Tf 3,875% Dc27 Usd;USD;1000;Senior;;;31/12/2027;;
24/03/2023;EUROTLX;EUROTLX;US91282CFZ95;Usa Tf 3,875% Nv27 Usd;USD;1000;Senior;;;30/11/2027;;
24/03/2023;MOT;EUROMOT;EU000A3K4D41;Eu Tf 3,25% Lg34 Eur;EUR;1000;Senior;14/03/2023;;04/07/2034;;
23/03/2023;MOT;EUROMOT;XS2586778115;Ifc Tf 10,75% Fb28 Brl;BRL;5000;Senior;15/02/2023;;15/02/2028;;
22/03/2023;EUROTLX;EUROTLX;XS2484633768;Bnp Issuance Mc Mz27 Call Usd;USD;1000;Senior;;;20/03/2027;;
22/03/2023;EUROTLX;EUROTLX;XS2479682614;Bnp Issuance Mc Mz27 Call Eur;EUR;1000;Senior;;;22/03/2027;;
20/03/2023;EUROTLX;EUROTLX;XS2597110027;Stellantis Green Tf 4,375% Mz30 Call Eur;EUR;100000;Senior;;;14/03/2030;;
20/03/2023;EUROTLX;EUROTLX;XS2597999452;Mediobanca Mc Mz28 Call Eur;EUR;100000;Senior;;;14/03/2028;;
16/03/2023;MOT;EUROMOT;XS1655142898;Ifc Zc Ag32 Zar;ZAR;10000;Senior;30/08/2017;;31/08/2032;;
15/03/2023;EUROTLX;EUROTLX;XS2592658947;Isp Green Bond Tf 5,625% Mz33 Call Eur;EUR;150000;Senior;;;08/03/2033;;
15/03/2023;EUROTLX;EUROTLX;XS2592650373;Intsanpaolo Green Bond Mc Mz28 Call Eur;EUR;150000;Senior;;;08/03/2028;;
15/03/2023;EUROTLX;EUROTLX;XS2482936247;Rwe Green Bond Tf 2,125% Mg26 Call Eur;EUR;1000;Senior;;;24/05/2026;;
15/03/2023;EUROTLX;EUROTLX;XS2412044567;Rwe Green Bond Tf 0,5% Nv28 Call Eur;EUR;1000;Senior;;;26/11/2028;;
15/03/2023;MOT;EUROMOT;XS2592839810;Coe Tf 27,5% Mz28 Try;TRY;10000;Senior;06/03/2023;;06/03/2028;;
10/03/2023;MOT;EUROMOT;XS2587298204;Eib Tf 2,75% Lg28 Eur;EUR;1000;Senior;15/02/2023;;28/07/2028;;
10/03/2023;MOT;EUROMOT;EU000A1Z99R5;Esm Tf 3% Mz28 Eur;EUR;1000;Senior;27/02/2023;;15/03/2028;;
09/03/2023;MOT;BTP;IT0005532723;Btp Italia Mz28 Eur;EUR;1000;Senior;14/03/2023;;14/03/2028;;
08/03/2023;EUROTLX;EUROTLX;XS2464641971;Bnp Issuance Mc Fb28 Call Eur;EUR;1000;Senior;;;28/02/2028;;
08/03/2023;EUROTLX;EUROTLX;XS2464634331;Bnp Iss Mc Fb28 Call Eur;EUR;1000;Senior;;;28/02/2028;;
07/03/2023;EUROTLX;EUROTLX;XS0460021990;Deutsche Bk Mc Infl Fb28 Eur;EUR;1000;Senior;;;27/02/2028;;
07/03/2023;MOT;EUROMOT;XS1764081110;Kfw Green Tf 1,375% Fb28 Sek;SEK;10000;Senior;02/02/2018;;02/02/2028;;
